,A2C,PPO,DDPG,TD3,SAC,Min,Momentum,Equal
Annual return,-0.004654134476206329,0.001992823719278336,-0.00014724543237465415,-0.0015583156407332766,-0.007926007227948229,-0.004366986778507664,-0.033145986355161194,0.005237578183040714
Cumulative returns,-0.00691792256405066,0.0029669532553313616,-0.00021910735266694736,-0.0023180399562482412,-0.01177180799239208,-0.006474306603991509,-0.048795878808800874,0.007783077362697899
Annual volatility,0.0504272005410146,0.0484470426082222,0.046513198170209415,0.04797891199175623,0.047445766454687434,0.007121794603116906,0.06342422670968098,0.04838772283233977
Sharpe ratio,-0.06736350204231813,0.06524800853028938,0.020020771508690555,-0.008584404202009902,-0.14405426952369116,-0.610971961763618,-0.49987767673196626,0.13208595618038155
Calmar ratio,-0.06339362910073032,0.028245759190573046,-0.0022002484609707678,-0.022272255572688755,-0.11427376806445606,-0.32375557897206914,-0.2921553240925356,0.07374569923571887
Stability,0.014540579407554037,0.008438367900654655,0.0069959954798769885,0.012377007647317652,0.13680190993848163,0.02035316692356755,0.6137305265444487,0.008238998544964257
Max drawdown,-0.07341643856374065,-0.0705530237595255,-0.06692218401084042,-0.06996667381296368,-0.06935981338672204,-0.013488529811201834,-0.11345330247913855,-0.07102215095011104
Omega ratio,0.9888343433175485,1.0109848088524556,1.003368423877792,0.9985629307851601,0.9761945147190164,0.8999450009584454,0.9068881156141779,1.0223350037177457
Sortino ratio,-0.09601517316629446,0.09384796604613586,0.028921993046826907,-0.012367477456328695,-0.2030712553272295,-0.8336158856737913,-0.7236446999714855,0.19072666009136396
Skew,0.036890950970949944,0.08860609201759478,0.1828064399187786,0.1233479337938562,-0.04347128668373232,-0.3269064327793297,0.9801144777204478,0.0726047304573116
Kurtosis,1.2282549298906869,1.4468729566981677,2.0379352932126276,1.373852429834085,1.0279589910939233,3.246301420091256,9.860242844251005,1.3245320663504172
Tail ratio,1.059643554371391,0.9521763235530379,1.0321981819083716,1.0449703675044575,0.9590217453540477,0.980962721164641,0.8576790092472575,1.043766407766369
Daily value at risk,-0.006366710064139324,-0.0060912097020853284,-0.0058564167872022215,-0.006046409135084959,-0.006004726789095498,-0.000914528514761489,-0.008116512407702033,-0.006070917598569106
Alpha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Beta,1.000000000000001,0.9999999999999997,0.9999999999999998,1.0,1.0000000000000002,1.0000000000000004,1.0,1.0000000000000007
