,A2C,PPO,DDPG,TD3,SAC,Mean,Min,Momentum,Equal,Index
Annual return,0.2212420429637323,0.20642569260082766,0.2006824013236601,0.16621424022423614,0.24005896920784586,0.3208535454489436,0.1119392183533332,0.38432158442681774,0.20602698983808865,0.11104662112345709
Cumulative returns,0.34638500601886135,0.3221496713075729,0.3127941855592251,0.25710782571766666,0.37737151763974786,0.5113452011144688,0.17055042515746788,0.6203678912894279,0.32051749444098343,0.1691561410867839
Annual volatility,0.15568860517186436,0.146714506127892,0.14232483045574063,0.13852602118998572,0.15483870064708913,0.18365388206793046,0.11551130263888086,0.1987093278664187,0.14743457070126012,0.1532264255962207
Sharpe ratio,1.3615250607510636,1.3524488465360616,1.3561564672720963,1.1791842849913317,1.4669780545686542,1.6073679310945164,0.9763983092751959,1.7364757582807142,1.3442619181591555,0.7634717645792318
Calmar ratio,1.3657819751836364,1.2981929388718512,1.3212320927705579,1.1583122294093622,1.4426411862708421,1.618287605356359,1.0499154102355706,1.99221504443163,1.336982422498854,0.6783865631169926
Stability,0.8059495054716166,0.8105498681182975,0.8211626695597889,0.763397985784265,0.7787678932291952,0.5888735126395339,0.6590544292255253,0.6665666999595178,0.7993175274323177,0.5394268281292178
Max drawdown,-0.1619892830508216,-0.1590100257209954,-0.15189034721586206,-0.1434969225085285,-0.16640240933948844,-0.19826731934852165,-0.10661736865850678,-0.1929116967071509,-0.15409850299528918,-0.16369224740128926
Omega ratio,1.3026263334474102,1.2961077454138308,1.2926870229460814,1.2510892650543577,1.3335557010401022,1.3288673128898896,1.196718120094713,1.361720468265903,1.296734867472675,1.1559947650832185
Sortino ratio,2.0584400207932774,2.0230609704773697,2.034279056021036,1.7518838657072837,2.233269939087458,2.4699610691609157,1.4148775825013584,2.6826810364603038,2.0240609759611234,1.1275035823682513
Skew,0.7906751287595362,0.6400802703719372,0.7121294499639322,0.5752550804248575,0.7980614749000358,0.32200589743046987,-0.1134088049406103,0.2556847385438496,0.7599182731344343,0.6890566594047844
Kurtosis,18.180398787341336,17.241122032166867,17.24162465211472,17.229953539733195,18.054815235556458,6.161854428215015,14.00021652233076,5.874020866143873,18.621995449617682,14.6238002956113
Tail ratio,0.997468354471891,0.9530554739213454,1.0116528351835823,0.9715357096514565,0.9131499089368778,1.0553663292726736,1.0949261444049296,0.9583697167501988,0.9594829775030199,0.8723331315717896
Daily value at risk,-0.018773754116668488,-0.01769689404245236,-0.017165311674713885,-0.016804433011547555,-0.018606473678728887,-0.021966788217075154,-0.014105496524588864,-0.023665760499586505,-0.017788538991807143,-0.01884049264841741
Alpha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Beta,0.9999999999999999,0.9999999999999997,0.9999999999999997,0.9999999999999998,0.9999999999999997,0.999999999999999,1.000000000000001,1.0000000000000004,0.9999999999999993,0.9999999999999992
