,A2C,PPO,DDPG,TD3,SAC,Mean,Min,Momentum,Equal
Annual return,0.24667290831665656,0.23494686037991208,0.23051257069024977,0.2107208538005132,0.2511757549089886,0.30169547874891167,0.2885285525596821,0.10168885082121726,0.2467379811853767
Cumulative returns,0.3883177357150369,0.3689303579787939,0.36162221723604127,0.3291604650483064,0.39578629173878066,0.47892613987450394,0.4567785738235173,0.15457148970899715,0.3872110648368796
Annual volatility,0.243436679388283,0.1999126965225665,0.2148463499779179,0.2024443751675961,0.2088835516619211,0.17050899364371916,0.143737294629156,0.2624612228569242,0.20130482746066375
Sharpe ratio,1.027347842527105,1.1558651232870565,1.0730877280938234,1.0462064104280135,1.177338753892434,1.6324017179828803,1.8363065108071528,0.49978053704377756,1.1964319873069673
Calmar ratio,1.3302669802079592,1.5301968979305527,1.379714294862548,1.5078730954220825,1.7407268719729674,3.55323230818285,3.8255071058911105,0.45780249276020585,1.6249966653372159
Stability,0.8248055526018864,0.8414140019174855,0.8024479743045464,0.7708962910054898,0.8576778732878159,0.9388604142725347,0.9387296653520183,0.47757240198613937,0.847569389563397
Max drawdown,-0.18543112922948327,-0.15354028014150048,-0.16707268421337496,-0.13974707449868545,-0.1442936045585957,-0.08490733298077013,-0.07542230208260782,-0.22212384691946457,-0.15183906924152005
Omega ratio,1.183924331873113,1.2093080748407443,1.1933791227119126,1.1923386974043897,1.2121291809518036,1.3138706272156664,1.35010254707146,1.091259331482404,1.2171797573327559
Sortino ratio,1.5564429581635169,1.7078726336950476,1.6044944259858407,1.5059936864020733,1.7964053835215272,2.341608476111629,2.6956535648502506,0.7251297584606499,1.796516409091114
Skew,0.0551027795498822,-0.22994039848697387,-0.1282445542297997,-0.46961824341867175,0.00471325609310864,-0.4704419465112814,-0.3873299708431728,0.11967034136560085,-0.14699515726956966
Kurtosis,1.3950194468328467,1.521987969429568,1.8690672646803295,2.5979518968604687,1.4326576821993013,1.1882647841350158,0.9470239704684111,2.322449633991295,1.818177641075338
Tail ratio,1.1012337604801135,1.1452169151443723,1.1461223260073197,1.0650974031785727,1.2118957218485022,0.9445511890564553,1.064895454482769,1.0105348203806885,1.133400959245875
Daily value at risk,-0.029677701652665103,-0.024269679497872024,-0.026153218904726837,-0.024665123210922214,-0.02534095423654761,-0.020377593442930744,-0.017061793248389988,-0.03254647810640982,-0.024406280156186268
Alpha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Beta,1.0000000000000007,0.9999999999999998,0.999999999999999,1.0000000000000007,1.0000000000000009,1.0000000000000004,0.9999999999999996,1.0000000000000007,0.9999999999999997
