,A2C,PPO,DDPG,TD3,SAC,Min,Momentum,Equal
Annual return,-0.0015633379749098175,0.005620563614094909,-0.00039280057543511493,-0.0034343529810193507,0.012012972378061537,-0.004378668848259881,-0.03323335636489,0.0052516567545801696
Cumulative returns,-0.0023193138142562075,0.00835296824531162,-0.0005829104996765144,-0.005092776116709552,0.017880514189986263,-0.006474306603991509,-0.048795878808800874,0.007783077362697899
Annual volatility,0.050952407474882375,0.04844070999348673,0.041818913649931594,0.05014638241755924,0.05215185865878065,0.007131346284942928,0.06350933247037491,0.048452711936286134
Sharpe ratio,-0.005291535558132483,0.13985691470354322,0.011456303842248565,-0.043602759656001674,0.2549735565410665,-0.6117894302509082,-0.5005461737772294,0.13226243357154244
Calmar ratio,-0.021829185521516206,0.08355686548391894,-0.006294143095927188,-0.04796322258565936,0.14736792711437185,-0.32462165332677867,-0.2929254207562697,0.07394392713153894
Stability,0.037715035147072785,0.0032526660489236078,0.008294862523469691,0.017911383059090985,0.00465404678179709,0.024407636213249886,0.620688388257643,0.009981479266978722
Max drawdown,-0.07161687152133524,-0.06726632912260959,-0.06240731572964844,-0.07160388305614386,-0.08151687150175019,-0.013488529811201834,-0.11345330247913855,-0.07102215095011104
Omega ratio,0.9991092965723769,1.0236737828864193,1.0019145785937507,0.992719125545413,1.0436020143858495,0.8999450009584454,0.9068881156141779,1.0223350037177457
Sortino ratio,-0.007471599315497216,0.2023402806425242,0.01643820173783003,-0.06262575433626123,0.37482165256447353,-0.8347325852845109,-0.7246140837951924,0.19098215472712862
Skew,-0.1114385202983432,0.09438478308433555,0.07494059726959049,0.1067897504239775,0.1877401151305493,-0.3261616499077714,0.9790603827758229,0.07244070013691392
Kurtosis,1.5717607814765309,1.258247251963775,1.1888314603504178,1.1156287071550777,1.4808914669478543,3.2295150029909783,9.82625611468709,1.3129642849167382
Tail ratio,0.9396476249553244,1.033750340146414,1.0196771387095107,0.9716558808533675,1.0530424848469433,0.980689250114926,0.8574925306100575,1.0405457914660239
Daily value at risk,-0.006420469853248941,-0.006076071807318522,-0.005266786734992518,-0.006326527003877044,-0.006517749349875528,-0.0009157782050678862,-0.008127572020425272,-0.006079037460186244
Alpha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Beta,1.0000000000000004,0.9999999999999997,1.0,1.0000000000000004,0.9999999999999993,1.0000000000000004,0.9999999999999993,1.0000000000000002
