,A2C,PPO,DDPG,TD3,SAC,Min,Momentum,Equal
Annual return,-0.0048080978702632615,0.0022240287975314743,0.0021610835420373675,-0.0014863457281582004,0.007732588566412346,-0.004378668848259881,-0.03323335636489,0.0052516567545801696
Cumulative returns,-0.007127515772506143,0.003302517447268505,0.0032089995893620493,-0.0022051319298070915,0.011497595655070025,-0.006474306603991509,-0.048795878808800874,0.007783077362697899
Annual volatility,0.05651022365330161,0.04862795922923512,0.048062803248401176,0.046525631850414355,0.05071901400075095,0.007131346284942928,0.06350933247037491,0.048452711936286134
Sharpe ratio,-0.057104355516143936,0.06992909553369869,0.06886896334053781,-0.008781497702188463,0.17716258692053757,-0.6117894302509082,-0.5005461737772294,0.13226243357154244
Calmar ratio,-0.05942490868039535,0.031008385481266915,0.03150155626020783,-0.022102411717365752,0.10632254454298652,-0.32462165332677867,-0.2929254207562697,0.07394392713153894
Stability,0.06781948503276082,0.005470486187155083,0.0018921465556636977,0.007111266341620157,0.00445188938435825,0.024407636213249886,0.620688388257643,0.009981479266978722
Max drawdown,-0.0809104797471819,-0.0717234632830231,-0.06860243742202692,-0.06724812419408449,-0.07272764774065427,-0.013488529811201834,-0.11345330247913855,-0.07102215095011104
Omega ratio,0.9905181225491192,1.0117224457455323,1.0116788076728405,0.9985250893944142,1.030044475636774,0.8999450009584454,0.9068881156141779,1.0223350037177457
Sortino ratio,-0.08090235766357752,0.1007689484617003,0.10076309663607226,-0.0127852876839968,0.2571517723724638,-0.8347325852845109,-0.7246140837951924,0.19098215472712862
Skew,-0.0472491584895405,0.10106777050956495,0.2862590740781809,0.26781485634912966,0.07276806898599253,-0.3261616499077714,0.9790603827758229,0.07244070013691392
Kurtosis,1.054539999640383,1.3476492561354627,2.455728185454583,2.132507717804316,0.996679004575419,3.2295150029909783,9.82625611468709,1.3129642849167382
Tail ratio,0.92638235504393,0.9801188714215221,1.0512876875663502,0.9701155897943834,1.0482056491419827,0.980689250114926,0.8574925306100575,1.0405457914660239
Daily value at risk,-0.007132424443385343,-0.006113052910377704,-0.006042208972459543,-0.005863299929862279,-0.006354338340215276,-0.0009157782050678862,-0.008127572020425272,-0.006079037460186244
Alpha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Beta,0.9999999999999999,0.9999999999999992,1.0000000000000007,0.9999999999999996,1.0000000000000002,1.0000000000000004,0.9999999999999993,1.0000000000000002
