,A2C,PPO,DDPG,TD3,SAC,Mean,Min,Momentum,Equal,Index
Annual return,0.20197595339292218,0.18946740475347323,0.23406595069638603,0.22139402253888196,0.2050325719352486,0.32184354109174285,0.11225408269141113,0.38552901113741034,0.20663281900156205,0.11104662112345709
Cumulative returns,0.31393984270237674,0.2936975212957298,0.36633671759310626,0.3455660534886915,0.31890186995818026,0.511352308787218,0.17054810613761284,0.6203677908821263,0.32051745412611554,0.1691561410867839
Annual volatility,0.15594655143882724,0.14874898863012542,0.1486035174771632,0.15173952102254146,0.1480234656045384,0.18389781621345913,0.11566584817109955,0.19897302250055418,0.14763117939771384,0.1532264255962207
Sharpe ratio,1.2575213798336897,1.2406619137718613,1.4895976292259125,1.393831286359715,1.3339732604415417,1.6095564642534879,0.9776963041453605,1.7388234872132913,1.3460706694016242,0.7634717645792318
Calmar ratio,1.177224847680675,1.2177522062592911,1.514241146622755,1.3763166483880946,1.3328573195824707,1.623290803454129,1.052870712663172,1.9984739564186096,1.3409139743365337,0.6783865631169926
Stability,0.7558375385566776,0.7814667720386466,0.817816763229971,0.843159893324021,0.8430106207920168,0.5873738907969979,0.6592847637125481,0.6654036139949168,0.797901770864871,0.5394268281292178
Max drawdown,-0.17156956361467204,-0.15558781481125947,-0.15457640364510528,-0.1608598012660624,-0.15382934761499967,-0.19826610266435699,-0.10661715758763134,-0.1929117014005539,-0.15409849025087624,-0.16369224740128926
Omega ratio,1.2814122540036352,1.2700031271409984,1.3361708095513376,1.3058492789794112,1.2956389428035984,1.328871750728739,1.1967157888366764,1.3617204358557307,1.2967348167209845,1.1559947650832185
Sortino ratio,1.87155557071459,1.8630896606101166,2.276296138648984,2.1122669726564105,1.9945746666827775,2.4733055245743656,1.416754272297504,2.686274491118101,2.0267721007596204,1.1275035823682513
Skew,0.7337687283303483,0.7785847038497072,0.804171784431135,0.7553519286412442,0.6367478716340154,0.3207958951731234,-0.1137567998643382,0.2544781896055553,0.758243792152944,0.6890566594047844
Kurtosis,19.74211736521059,18.62233981426368,19.16547502298141,17.56951250204904,17.569344576888447,6.13746030319553,13.955185227511969,5.850561110046808,18.564321271097697,14.6238002956113
Tail ratio,0.9273492057692578,0.927607517075612,0.9735995685650899,1.0780947667478449,0.9492479623429357,1.0543687221108684,1.0939722499725835,0.9590397827829991,0.9580765940039928,0.8723331315717896
Daily value at risk,-0.018869219811736847,-0.018008280854550612,-0.017843872884918878,-0.018278099795436386,-0.017865634893904917,-0.0219943680211731,-0.014123772861334491,-0.023695312130643346,-0.017811200939959228,-0.01884049264841741
Alpha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Beta,0.9999999999999999,0.9999999999999999,1.0000000000000002,1.0000000000000007,1.0,1.0000000000000009,0.9999999999999997,0.9999999999999991,0.9999999999999993,0.9999999999999992
