,A2C,PPO,DDPG,TD3,SAC,Mean,Min,Momentum,Equal,Index
Annual return,0.1353946548976408,0.20141995203624252,0.15392514465303453,0.15088823951179497,0.15913924867675133,0.2137240233897464,0.19161009333360135,0.26587436396525344,0.17655887171795048,0.12649778962702318
Cumulative returns,0.20313140851955547,0.30636193393946254,0.23183446889841397,0.22711589822625555,0.2399490686318102,0.32487288020467786,0.28995875057681797,0.4083485924966843,0.2663622010461413,0.19224041880311127
Annual volatility,0.1592533974145709,0.15595518375155554,0.15719915483398303,0.15755026027399224,0.15752079690062312,0.15295303485368994,0.1071218854691103,0.1619252117775641,0.15515900613931008,0.16191327946582482
Sharpe ratio,0.8771788870949029,1.2551384705649282,0.9895988885262683,0.9710330390038557,1.0166194068280263,1.3434782554027067,1.6907387145683406,1.5378199728673176,1.1258665438860163,0.8169188599307532
Calmar ratio,0.7573123980229198,1.221302837901248,0.9052336345186816,0.8639826025589378,0.9204187624078299,1.7989356194575252,2.2559933719985663,1.752985925843174,1.0470015552718235,0.7630343254332519
Stability,0.5723137124072876,0.7729041210526261,0.6755287926668444,0.6349157882669128,0.6674115129569348,0.8138552408133416,0.944848541452349,0.838107855679139,0.709558785036963,0.47617154366953746
Max drawdown,-0.17878309565657358,-0.16492220093615217,-0.17003913551541586,-0.1746426826939515,-0.1728987447631343,-0.1188058211078146,-0.08493380154031903,-0.15166942303736394,-0.16863286480229928,-0.16578256758658605
Omega ratio,1.159800865591449,1.238465843583988,1.1825722809580455,1.1792879411360295,1.1886454158028985,1.2600126833439438,1.3497803963867931,1.3018913725526755,1.2113106734457226,1.151833162390061
Sortino ratio,1.2356418251459917,1.7627476854751407,1.4054975719809766,1.372625445243701,1.4226934624125258,1.8375516938728877,2.3797947239237582,2.155712599432327,1.5920797486449039,1.1336941645999066
Skew,-0.4610801340988155,-0.6607682218747339,-0.4484376445849368,-0.4930960169660894,-0.607061482392686,-0.8339888963047237,-1.150930931453091,-0.8186045573210795,-0.546764173094312,-0.6542409376413627
Kurtosis,2.5579527888363813,3.5287894588131072,2.793956086258648,2.8458325452853925,3.0395668586866256,3.184713631454768,8.108180027227062,4.318528932534583,3.183964950967221,3.959365443662711
Tail ratio,0.9924360715916217,1.036396326781638,1.0325564202045447,1.0126530622599939,1.0412670365022911,0.9077565288037015,1.0989972183601648,0.9919391507412354,0.9877915627900116,1.0915799496654228
Daily value at risk,-0.01950970199247182,-0.0188717390147832,-0.019187914012309903,-0.0192423777147305,-0.019210283967972076,-0.018454838228260766,-0.012777378206917196,-0.019412516950303618,-0.018854989654777173,-0.019874274783479404
Alpha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Beta,1.000000000000001,1.0000000000000004,0.9999999999999993,0.999999999999999,0.999999999999999,1.000000000000002,1.0,0.9999999999999994,1.0000000000000002,1.0000000000000009
