,A2C,PPO,DDPG,TD3,SAC,Mean,Min,Momentum,Equal,Index
Annual return,0.13691138394104696,0.12508434971797988,0.11612841439162946,0.1355979917620449,0.11734013398806531,0.2734819884797959,0.08190700227839587,0.267246153751759,0.13587366507808074,0.08784746246968789
Cumulative returns,0.20608675750187522,0.18780861607832788,0.1740263045902406,0.2040526302158816,0.1758880554163611,0.42202159267933625,0.12148244499560512,0.41189210304670976,0.2038707044031225,0.13462410153467674
Annual volatility,0.12356556385125315,0.12642174805896425,0.12318354065009593,0.12768750808199028,0.12571638057874415,0.15570458433586204,0.1012723152097645,0.14303963210847045,0.12568859284359885,0.11565439596461785
Sharpe ratio,1.1005217277413857,0.9957046914300887,0.9536993386615533,1.0600052761838894,0.9456497326189391,1.6312636654176287,0.8282461315782016,1.7282166357916946,1.0767503629076907,0.7861858122260905
Calmar ratio,1.1041072800844138,0.9464675802108529,0.9014247839041201,1.058093506375705,0.8414133788585247,2.289477202023983,0.6791527204893397,1.8338715131052148,1.0372832705046802,0.6539027558021605
Stability,0.8195548327679021,0.7668558053383568,0.7879089572198399,0.7741047025743568,0.7178910205845047,0.9014580879364487,0.8569101911977978,0.8575161266633977,0.7861040659253825,0.6883607291582178
Max drawdown,-0.12400188497134036,-0.1321591487477191,-0.1288276254050515,-0.12815312724724076,-0.13945598790840583,-0.11945171947465895,-0.12060174362458659,-0.14572785052931145,-0.13098993200957798,-0.13434331280944517
Omega ratio,1.2136063303261202,1.1893868747873746,1.1825142751080604,1.2029965599955714,1.1802967805595903,1.3142636676048334,1.159447561074125,1.3473334881547068,1.2067283016790318,1.1570342509186766
Sortino ratio,1.5536716273251754,1.404611079376457,1.341975538541503,1.492649163289411,1.3211633603943531,2.3557763250472568,1.1218906023675017,2.489016836168198,1.5237192590994904,1.0649315845721674
Skew,-0.6913587148520343,-0.605544729401744,-0.6489900684589566,-0.6945220212384982,-0.7008440257708439,-0.5651664923863371,-1.2588271053050146,-0.8164406633654696,-0.6233410274770891,-1.2583600858964696
Kurtosis,6.134077222742686,5.534295542016189,5.681505625344027,5.84794765312126,5.65936329727943,2.7070214320905617,8.664423157837719,6.466983778821447,5.5285513943306075,10.085015862821919
Tail ratio,1.0651897020257177,1.0336651829646546,1.088093480247244,1.0387543169723348,1.005509472879487,1.1164136389417418,1.0074972397325666,1.0838001768722318,1.0650228558920596,1.0902327520843136
Daily value at risk,-0.015028168424300561,-0.015428124366856671,-0.0150534766224875,-0.01555001297898521,-0.015367014615801502,-0.018609016138009693,-0.012426261609448076,-0.017040333565217485,-0.01529822965739714,-0.014210267427842423
Alpha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Beta,0.9999999999999996,0.9999999999999996,0.9999999999999999,1.0000000000000007,1.0,0.9999999999999997,1.0000000000000002,1.0000000000000004,1.0000000000000016,0.9999999999999997
