,A2C,PPO,DDPG,TD3,SAC,Mean,Min,Momentum,Equal
Annual return,0.26252228043122505,0.22809104589289841,0.21423050021218648,0.23215734166775093,0.21621635350762825,0.3026159513919897,0.2894045691389633,0.10197492631954175,0.2474753138289303
Cumulative returns,0.41335613231842405,0.3565302700144044,0.333870271162509,0.3632016656435979,0.3371092083788554,0.47892613987450394,0.4567785738235173,0.15457148970899715,0.3872110648368796
Annual volatility,0.19596881858683926,0.20041978163642193,0.22148694369761432,0.2439396850044961,0.17659018452610364,0.17073559191679546,0.14392777162578455,0.2628134064280288,0.20157367787534702
Sharpe ratio,1.2881048570374616,1.1256258598803095,0.9871172336209012,0.9776096599846695,1.1973301287410525,1.6346058173777127,1.8387928631613042,0.5004489039228721,1.1980395514198254
Calmar ratio,1.9260937916158127,1.3771904237262205,1.265875715794102,1.3615957554670757,1.555673366883472,3.56407321686251,3.8371219274371526,0.4590904026460283,1.6298526793212107
Stability,0.8730755503448511,0.8345255624078584,0.7785001697000941,0.7962809635696529,0.7969894742897771,0.9385995831054037,0.9382588679433128,0.481597927589936,0.846748346409452
Max drawdown,-0.13629776575469535,-0.16562055759562988,-0.16923501852454495,-0.17050386705128404,-0.13898570105418792,-0.08490733298077013,-0.07542230208260782,-0.22212384691946457,-0.15183906924152005
Omega ratio,1.2358457163873529,1.2029856628657556,1.177018879498284,1.175300843750707,1.2220630977365787,1.3138706272156664,1.35010254707146,1.091259331482404,1.2171797573327559
Sortino ratio,1.8675209955017589,1.672128848681612,1.4877585021927824,1.48952850154552,1.7005028163301352,2.344745260473191,2.6992646228185975,0.7261011316469221,1.798922996116578
Skew,-0.4504937211042639,-0.19936312843749215,0.014707791531413566,0.11885710964220272,-0.636678891734711,-0.470656785704104,-0.38775891519472644,0.1192575919635139,-0.14740690538937776
Kurtosis,2.091601120226958,1.8219338929416908,1.7455680699124034,1.8073795068109515,3.0608781311950057,1.1778219647185324,0.9372336032139121,2.308206463236253,1.805560376169999
Tail ratio,1.0448021711133026,1.0371620058243278,1.1429104879788432,1.185518593817938,1.0235936019902752,0.9451551029876518,1.061892904186231,1.008397412906375,1.1334570891168594
Daily value at risk,-0.023688050465862323,-0.024355290124176927,-0.027037138416324956,-0.02978717104976957,-0.021409237295237596,-0.02040318096083486,-0.017082983041484485,-0.03258945354874824,-0.02443758980776946
Alpha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Beta,0.9999999999999998,0.9999999999999988,1.0000000000000007,0.9999999999999992,0.9999999999999989,0.9999999999999997,1.0000000000000002,0.9999999999999998,1.0000000000000002
