,A2C,PPO,DDPG,TD3,SAC,Mean,Min,Momentum,Equal,Index
Annual return,0.21654746981032247,0.20351048909857594,0.22062780956363737,0.24780938509652528,0.14565259025272326,0.3208553107886587,0.11193762343918601,0.38432150640676177,0.2060269810152182,0.11104662112345709
Cumulative returns,0.33869039858294636,0.3173982520220282,0.34537742875490185,0.390201489933546,0.2242677260134891,0.5113481989548045,0.17054793333383866,0.6203677557536504,0.32051748010365944,0.1691561410867839
Annual volatility,0.1578844334113095,0.14608930289636668,0.15261390378237638,0.15671269441459462,0.15079937722762538,0.18365397305181155,0.11551127259982481,0.19870933058186738,0.14743457944228866,0.1532264255962207
Sharpe ratio,1.3202618846345409,1.341014494305029,1.382562426181972,1.491077926090317,0.9768708420375153,1.607374508035136,0.9763861114136717,1.7364754535335867,1.344261797653707,0.7634717645792318
Calmar ratio,1.3129776455596287,1.3536839079474672,1.4141536172789653,1.5816669589578485,0.8324039033107679,1.6183002515847202,1.049902049709993,1.992214693383552,1.3369823881899607,0.6783865631169926
Stability,0.7566943313457829,0.8076248386726019,0.8084876498428822,0.8092470423761243,0.563099440029582,0.5888804387632032,0.6590477758010602,0.666566642180997,0.7993175299282926,0.5394268281292178
Max drawdown,-0.16492852756683737,-0.15033826427555763,-0.1560140333184997,-0.15667608385763176,-0.1749782643659056,-0.19826686084641043,-0.10661720630996555,-0.19291169153763996,-0.15409850035058617,-0.16369224740128926
Omega ratio,1.2911618644963168,1.2945248256405197,1.3095033527883129,1.3348846995972063,1.20596257870965,1.3288691207172976,1.1967153687034753,1.3617204514691545,1.296734791894296,1.1559947650832185
Sortino ratio,2.011688710562669,2.022820813308491,2.090139353353372,2.2718291213226327,1.4284241919007836,2.4699736127256458,1.4148579899485296,2.6826806327264463,2.0240607377743487,1.1275035823682513
Skew,0.9332356116726911,0.7088024543041344,0.8409055643854115,0.7797069293003704,0.5956120957413679,0.3220087556214497,-0.11341069341050307,0.255684414231314,0.7599178469153363,0.6890566594047844
Kurtosis,18.064029765130325,17.964768484081397,20.233122600485913,17.29780606572304,17.32924790028575,6.161847537374202,14.000241126688213,5.874019345140031,18.62199175005606,14.6238002956113
Tail ratio,1.0253953165940943,0.9993807094216347,0.9616968553851054,0.9382106455989595,0.9025010351589636,1.055363447499585,1.094911129527884,0.9583664708045663,0.9594837196046406,0.8723331315717896
Daily value at risk,-0.019064391113991563,-0.01762810993412677,-0.018390249933112807,-0.01881667841712222,-0.018414366212228094,-0.021966794306451442,-0.014105498447644929,-0.023665761063291307,-0.01778854011694798,-0.01884049264841741
Alpha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Beta,1.0000000000000007,0.9999999999999997,0.9999999999999996,1.0,1.0000000000000002,1.000000000000001,0.9999999999999994,1.000000000000001,1.0,0.9999999999999992
