,A2C,PPO,DDPG,TD3,SAC,Mean,Min,Momentum,Equal,Index
Annual return,0.14674684840127705,0.15565647952130912,0.1292377691418507,0.1547179321878931,0.17611452733776467,0.20153514909293402,0.19958859555459219,0.27290516056976877,0.16998702460917325,0.12649778962702318
Cumulative returns,0.22934363668673852,0.2437748731033338,0.20114938920984948,0.24225200370704303,0.27712540915585304,0.3180173721871238,0.3148073184558069,0.4375068673903493,0.2663160976525294,0.19224041880311127
Annual volatility,0.15488270995661385,0.15490650270911607,0.1555824596690129,0.1487228714727036,0.15199576356869884,0.1488247015172932,0.10661872842720209,0.15875383394592138,0.15304123209832268,0.16191327946582482
Sharpe ratio,0.9617457086206509,1.0116847918251273,0.859233560232781,1.041998300626398,1.1436641066281978,1.3086812345939398,1.7608253825325446,1.6002232690756675,1.1026999994816615,0.8169188599307532
Calmar ratio,0.8805817086147096,0.9124278889155804,0.7283838849243618,0.9404141824465477,1.0250848407040287,1.6551297240975777,2.4136250510839754,1.8308646089139082,1.008030208625208,0.7630343254332519
Stability,0.6776870529169826,0.6777642052571007,0.5388638971109303,0.7242020926466765,0.7828067421621048,0.8286556990577305,0.9514493864214457,0.8665032567531401,0.7143466687649481,0.47617154366953746
Max drawdown,-0.16664762277668974,-0.1705959247982947,-0.17743084631158643,-0.1645210536759287,-0.17180483053169446,-0.12176395974207793,-0.08269246106181886,-0.14905807848438313,-0.16863286750206463,-0.16578256758658605
Omega ratio,1.1774101420383036,1.1877983249841773,1.158175703947431,1.1958236291244453,1.2174876744548877,1.2526091388733498,1.36451447359723,1.3160094646728344,1.2073558597988283,1.151833162390061
Sortino ratio,1.3632953012480544,1.417200371697721,1.2015390106894932,1.4508772174944704,1.6037851992774417,1.7969002145178623,2.5010511123671018,2.2553060818541866,1.5546802136755975,1.1336941645999066
Skew,-0.4221244651866405,-0.5690314903046592,-0.5280467596102487,-0.6610369772951216,-0.6447127986122994,-0.8375413405531451,-1.0552452302016146,-0.771139238494767,-0.5571720959671762,-0.6542409376413627
Kurtosis,2.7363877715158136,3.1730914422832655,3.0278017734034988,3.664797933912544,3.7507320938716617,3.3153976786447714,7.558967228942993,4.248947730627502,3.305660039844174,3.959365443662711
Tail ratio,1.0279421324802194,0.9584685010118167,0.9760393061758174,0.9397570747562697,1.0278901400010323,0.9658061671250623,1.1099731765912817,1.0316372328559715,0.9964076339691333,1.0915799496654228
Daily value at risk,-0.018922284974234378,-0.018894493804266912,-0.019071064639064113,-0.018122364312982215,-0.018459856308352042,-0.017977276570549094,-0.012687709218157745,-0.018993001557349933,-0.018611706028164435,-0.019874274783479404
Alpha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Beta,0.9999999999999994,0.9999999999999991,1.0000000000000009,1.0000000000000002,0.9999999999999997,1.0000000000000004,1.0,1.0000000000000002,1.0000000000000022,1.0000000000000009
