,A2C,PPO,DDPG,TD3,SAC,Mean,Min,Momentum,Equal,Index
Annual return,0.10516088515915811,0.1245763019904138,0.1336158386462727,0.13251748843355693,0.13190433792827738,0.21677349153394165,0.09321356214963528,0.2502441703761249,0.1317526752860776,0.08784746246968789
Cumulative returns,0.16227951046522748,0.19312440235170802,0.2075774437607849,0.2058182141191094,0.20483650364628692,0.34219188744174667,0.14302970302020923,0.3979519921029262,0.20400223930186323,0.13462410153467674
Annual volatility,0.12682250265603365,0.1243960624546986,0.12288933863124787,0.12308243250541213,0.12794970500151712,0.15337250467470193,0.10010616821446999,0.13999608078348957,0.12407338768328514,0.11565439596461785
Sharpe ratio,0.8520242642584305,1.006253518367856,1.082238635966646,1.072877529695357,1.032578938246821,1.3564894297882457,0.9405896524749958,1.6661040062759525,1.059839282247214,0.7861858122260905
Calmar ratio,0.7461834351485754,0.9474410711947663,1.0710361403322959,1.049024483999322,0.9396147846213251,1.7231576749199409,0.8458497268854273,1.7453980339463935,0.990853600523904,0.6539027558021605
Stability,0.7281424611893991,0.7918861861759562,0.823978969042911,0.7851100065586994,0.8015661095009138,0.8428388758142786,0.8916750254956791,0.8562366716427827,0.7908961133305682,0.6883607291582178
Max drawdown,-0.14093168007437626,-0.1314871244005893,-0.12475380952580883,-0.12632449523803735,-0.14038129251173528,-0.12580014858130328,-0.1102010903199846,-0.1433736978666785,-0.1329688616122651,-0.13434331280944517
Omega ratio,1.1604470798622688,1.193304180265153,1.2089574198439272,1.2086635213508068,1.1968355586144797,1.2566506352366424,1.181593056349965,1.3352256309777235,1.204942186407201,1.1570342509186766
Sortino ratio,1.1946178730300103,1.417676425102824,1.5326637461211787,1.512933777238699,1.4659377160324838,1.9222429353244865,1.2850878829317915,2.39960677974917,1.4964273135266424,1.0649315845721674
Skew,-0.6045689995284805,-0.6307829083218228,-0.5977965518428747,-0.6650447477413237,-0.5592624023920815,-0.6025636983528817,-1.1877619072149395,-0.7399937455453666,-0.6337126380884894,-1.2583600858964696
Kurtosis,5.209044677259367,5.676124228353698,5.461751666911665,6.261227246033027,5.223605787406633,2.798403925517543,8.155524853777017,5.977104427476148,5.730932047768789,10.085015862821919
Tail ratio,0.9800755358090218,1.049927688692927,1.0905760774724111,1.0834663097994726,1.0238200068953467,0.9749446763364035,0.9966418147518128,1.1134765927403365,1.0516241803411353,1.0902327520843136
Daily value at risk,-0.015549340407061121,-0.015175708604973612,-0.014954841092772574,-0.014982911547251013,-0.0155958691530065,-0.018497531279685914,-0.012238545569911052,-0.016712260874069677,-0.015109960664393211,-0.014210267427842423
Alpha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Beta,1.0000000000000004,0.9999999999999998,1.0000000000000009,1.0,1.0000000000000002,0.9999999999999996,1.0000000000000007,0.9999999999999993,0.9999999999999996,0.9999999999999997
