,A2C,PPO,DDPG,TD3,SAC,Mean,Min,Momentum,Equal
Annual return,0.23528300874262809,0.2531007636432052,0.21678534089782486,0.2768285814894256,0.2563303393464529,0.30169547874891167,0.2885285525596821,0.10168885082121726,0.2467379811853767
Cumulative returns,0.3694848862072717,0.3989831769032961,0.3390799315298929,0.4385846111628593,0.4043519574037948,0.47892613987450394,0.4567785738235173,0.15457148970899715,0.3872110648368796
Annual volatility,0.20413871125599767,0.19407392687333128,0.1810790877865489,0.17921837823949824,0.1778336960112718,0.17050899364371916,0.143737294629156,0.2624612228569242,0.20130482746066375
Sharpe ratio,1.1372544950613002,1.2600131808687212,1.1744764432489403,1.4536794577327299,1.372679676324561,1.6324017179828803,1.8363065108071528,0.49978053704377756,1.1964319873069673
Calmar ratio,1.555273591005346,1.662860659865643,1.7522008199604338,2.2611826571563034,1.8898200747198712,3.55323230818285,3.8255071058911105,0.45780249276020585,1.6249966653372159
Stability,0.8397805146984776,0.8463069807169681,0.8510097795204341,0.9102772217520981,0.8692537147460683,0.9388604142725347,0.9387296653520183,0.47757240198613937,0.847569389563397
Max drawdown,-0.15128078436060793,-0.15220804108965777,-0.12372174377975698,-0.12242645706365415,-0.13563743066093148,-0.08490733298077013,-0.07542230208260782,-0.22212384691946457,-0.15183906924152005
Omega ratio,1.2060115269897553,1.230397221356887,1.2153977480465248,1.2670920879391023,1.2547161116055512,1.3138706272156664,1.35010254707146,1.091259331482404,1.2171797573327559
Sortino ratio,1.7267173565122982,1.8714651709622896,1.715252923191682,2.1883641336267723,2.004249490379697,2.341608476111629,2.6956535648502506,0.7251297584606499,1.796516409091114
Skew,-0.00025679634221014623,-0.2824503897629734,-0.3391411430369178,-0.19772369816725585,-0.4331344568048946,-0.4704419465112814,-0.3873299708431728,0.11967034136560085,-0.14699515726956966
Kurtosis,1.7246598561238455,2.0903318040055447,2.0722550258127175,1.5763732787545983,1.9417975392497056,1.1882647841350158,0.9470239704684111,2.322449633991295,1.818177641075338
Tail ratio,1.2177742310512074,1.0773737474585803,1.0379358842280622,1.0524494272505687,1.0382561907183607,0.9445511890564553,1.064895454482769,1.0105348203806885,1.133400959245875
Daily value at risk,-0.024797799556917445,-0.023480636713093198,-0.021969879698576958,-0.021545559664417988,-0.021436254413488325,-0.020377593442930744,-0.017061793248389988,-0.03254647810640982,-0.024406280156186268
Alpha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Beta,0.9999999999999996,0.9999999999999994,1.0000000000000002,1.0000000000000013,0.9999999999999998,1.0000000000000004,0.9999999999999996,1.0000000000000007,0.9999999999999997
